mmsi,imo,name,flag,sanctioned,false_flag,date_added,fleet
352004930,9353125,,,False,False,,Rosja
314972000,9276030,,,False,False,,Rosja
314956000,9292060,,,False,False,,Rosja
314947000,9309588,,,False,False,,Rosja
314897000,9318541,,,False,False,,Rosja
314958000,9322968,,,False,False,,Rosja
314955000,9333400,,,False,False,,Rosja
314893000,9333436,,,False,False,,Rosja
314953000,9382798,,,False,False,,Rosja
314931000,9397535,,,False,False,,Rosja
314948000,9397547,,,False,False,,Rosja
314945000,9577082,,,False,False,,Rosja
334891000,9289518,,,False,False,,Rosja
314974000,9248796,,,False,False,,Rosja
630001099,9263203,,,False,False,,Rosja
630001117,9308132,,,False,False,,Rosja
538011255,9356751,SEA RAPTOR,,False,False,,Rosja
630001103,9263186,,,False,False,,Rosja
352003750,9292589,,,False,False,,Rosja
667002316,9265885,,,False,False,,Rosja
511100943,9290921,,,False,False,,Rosja
518998779,9294123,,,False,False,,Rosja
273332580,9683726,,,False,False,,Rosja
273432830,9105140,,,False,False,,Rosja
273436640,9171175,,,False,False,,Rosja
273380170,9749154,,,False,False,,Rosja
273353450,9640516,,,False,False,,Rosja
273354450,9640528,,,False,False,,Rosja
273339920,9435363,,,False,False,,Rosja
273332530,9435375,,,False,False,,Rosja
352002676,9360415,,,False,False,,Rosja
626291000,9327372,,,False,False,,Rosja
626318000,9290517,,,False,False,,Rosja
273617650,9282986,,,False,False,,Rosja
273616650,9288930,,,False,False,,Rosja
574322000,9255830,,,False,False,,Rosja
355804000,9222560,,,False,False,,Rosja
374024000,9234501,,,False,False,,Rosja
304183000,9302126,RAINBOW,,False,False,,Rosja
636022012,9293959,,,False,False,,Rosja
636024873,9269257,LARA,,False,False,,Rosja
304201000,9279719,,,False,False,,Rosja
352003497,9346873,,,False,False,,Rosja
352002931,9375575,SINO FAITH,,False,False,,Rosja
352003487,9350850,SINO SOURCE,,False,False,,Rosja
511101300,9284726,,,False,False,,Rosja
518999272,9278064,,,False,False,,Rosja
352002261,9318022,,,False,False,,Rosja
518998929,9374844,NORSTAR INVICTUS,,False,False,,Rosja
314814000,9270749,,,False,False,,Rosja
518999144,9261657,,,False,False,,Rosja
273351980,9035541,,,False,False,,Rosja
632001119,9296585,,,False,False,,Rosja
636022546,9301615,,,False,False,,Rosja
632001110,9327413,,,False,False,,Rosja
632001103,9314818,,,False,False,,Rosja
677020400,9353113,,,False,False,,Rosja
273256410,9621601,,,False,False,,Rosja
273375360,9777670,,,False,False,,Rosja
677062600,9277735,,,False,False,,Rosja
314912000,9289520,,,False,False,,Rosja
314894000,9318553,,,False,False,,Rosja
314917000,9333424,,,False,False,,Rosja
669611000,9299745,,,False,False,,Rosja
669529000,9323338,,,False,False,,Rosja
211146780,9308065,EVENTIN,,False,False,,Rosja
273211040,9842176,VLADIMIR MONOMAKH,,False,False,,Rosja
372839000,9208069,STELLAR BEVERLY     ,,False,False,,Rosja
621819084,9288746,UDAYA               ,,False,False,,Rosja
626294000,9274800,YANGTZE             ,,False,False,,Rosja
352003394,9346744,MA JIN              ,,False,False,,Rosja
314843000,9265756,LIFE                ,,False,False,,Rosja
352002679,9368223,ACHILLES            ,,False,False,,Rosja
630001100,9291250,LINE                ,,False,False,,Rosja
626285000,9257022,LACONIA,,False,False,,Rosja
314993000,9250531,PYTHON,,False,False,,Rosja
352002677,9297371,SULEYMAN I,,False,False,,Rosja
273250830,9312884,KEMEROVO,,False,False,,Rosja
273258030,9256054,NEVSKIY PROSPECT,,False,False,,Rosja
352002488,9419137,SIKAR,,False,False,,Rosja
314988000,9422445,SIRIUS,,False,False,,Rosja
667002338,9248849,SILVERA             ,,False,False,,Rosja
626357000,9338905,SHAANXI             ,,False,False,,Rosja
352003390,9328132,SINO PROSPERITY,,False,False,,Rosja
667002335,9253076,REUS,,False,False,,Rosja
352978218,9235725,FUGA BLUEMARINE     ,,False,False,,Rosja
621819066,9388742,SURYA,,False,False,,Rosja
273258810,9610810,VIKTOR BAKAEV,,False,False,,Rosja
352002898,9378632,PING AN             ,,False,False,,Rosja
621819007,9274434,SINDHU,,False,False,,Rosja
626296000,9319674,EASTERN GLORY,,False,False,,Rosja
630001161,9323986,GARASAN,,False,False,,Rosja
352003751,9337327,JAZZ,,False,False,,Rosja
518998167,9329760,EAGLE S,,False,False,,Rosja
304797000,9253894,DESTAMAR,,False,False,,Rosja
636022168,9332810,KIWALA,,False,False,,Rosja
273618730,9866380,OKEANSKY PROSPECT,,False,False,,Rosja
273616040,9842190,AKADEMIK GUBKIN,,False,False,,Rosja
273295230,9842188,VLADIMIR VINOGRADOV,,False,False,,Rosja
314001021,9283291,TIBURON,,False,False,,Rosja
667002337,9229374,ODUNE,,False,False,,Rosja
667002314,9227443,ARLAN               ,,False,False,,Rosja
314001003,9205067,RAVEN               ,,False,False,,Rosja
352003031,9319686,HU PO               ,,False,False,,Rosja
314981000,9257814,TOREX               ,,False,False,,Rosja
372669000,9236004,KATIUSKA            ,,False,False,,Rosja
667002308,9250892,MIKATI              ,,False,False,,Rosja
273259730,9610793,GEORGY MASLOV       ,,False,False,,Rosja
375068000,9250397,FITBURG,,False,False,,Rosja
632001135,9143611,CAFFA,,False,False,,Rosja
352003677,9321172,SEA OWL I,,False,False,,Rosja
229659000,9937270,VEZHEN,,False,False,,Rosja
273414440,9179854,ADLER,,False,False,,Rosja
273457410,8227238,AKADEMIK ALEKSANDR KARPINSKIY,,False,False,,Rosja
273399760,8770261,AKADEMIK CHERSKIY,,False,False,,Rosja
273614220,9741724,ALARA,,False,False,,Rosja
273216620,9889198,ALEKSANDR SOKOLOV,,False,False,,Rosja
273615820,9940186,ALEXANDR DEEV,,False,False,,Rosja
273296030,9924340,ALPHA HELIOS,,False,False,,Rosja
273294550,9924352,ALPHA HERMES,,False,False,,Rosja
273444390,9300348,SANAR-10,,False,False,,Rosja
273433680,9300350,SANAR-9,,False,False,,Rosja
273445480,9313589,SANAR-14,,False,False,,Rosja
273317640,8318130,BALTIYSK,,False,False,,Rosja
273615800,9945124,GENNADY EGOROV,,False,False,,Rosja
273297510,9922122,LEONID PESTRIKOV,,False,False,,Rosja
273451690,9868807,NAVIS-6,,False,False,,Rosja
273298020,9922134,NIKOLAI LEONOV,,False,False,,Rosja
273614750,9942392,NIKOLAY ANISHCHENKOV,,False,False,,Rosja
273218340,9900514,PETROTRANS-5902,,False,False,,Rosja
273298410,9922110,VICTOR ANDRYUKHIN,,False,False,,Rosja
273213790,9921996,VLADIMIR LATYSHEV,,False,False,,Rosja
273613800,9945136,VYACHESLAV ARSHINOV,,False,False,,Rosja
273298160,9349291,ANASTASIIA,,False,False,,Rosja
319025900,1011159,ANATTA,,False,False,,Rosja
273379890,8711306,ANDREY OSIPOV,,False,False,,Rosja
273370990,9243801,ARCTICA-2,,False,False,,Rosja
273385970,9278600,BARENTS,,False,False,,Rosja
273437510,9267297,BERING,,False,False,,Rosja
273295260,9433286,MYS FLORA,,False,False,,Rosja
273218890,9368340,MYS DEZHNEVA,,False,False,,Rosja
273299250,9081370,MIKHAIL BRITNEV,,False,False,,Rosja
273256600,9243825,MYS SHMIDTA,,False,False,,Rosja
273434010,7741108,MANGAZEYA,,False,False,,Rosja
273210440,9179842,ANGARA,,False,False,,Rosja
273386130,9228980,ARCTICA 1,,False,False,,Rosja
273216130,9366110,MYS ZHELANIYA,,False,False,,Rosja
273359930,8714695,ARKADIY CHERNYSHEV,,False,False,,Rosja
273348130,8318740,CAPTAIN YAKUBOVICH,,False,False,,Rosja
273359830,8517839,MARIA,,False,False,,Rosja
273451870,9747194,ARTEMIS OFFSHORE,,False,False,,Rosja
273219650,9198226,ASCALON,,False,False,,Rosja
273155400,9082142,ASKAR-SARYDZHA,,False,False,,Rosja
273355400,8700010,SAPFIR,,False,False,,Rosja
273150400,9083330,GASRET ALIEV,,False,False,,Rosja
273151300,9083196,GENRIKH GASANOV,,False,False,,Rosja
273428520,8606628,KOMPOZITOR ELZA IBRAGIMOVA,,False,False,,Rosja
273293160,9349289,LADY D,,False,False,,Rosja
273292160,9220641,LADY MARIIA,,False,False,,Rosja
273212120,9161003,LADY R,,False,False,,Rosja
273291160,9358010,MAIA-1,,False,False,,Rosja
273356400,8700046,OLGA,,False,False,,Rosja
273343190,9481922,PORT OLYA-1,,False,False,,Rosja
273379120,9481881,PORT OLYA-2,,False,False,,Rosja
273157300,8861058,RASUL GAMZATOV,,False,False,,Rosja
273357400,8700060,SONA,,False,False,,Rosja
273159700,8866591,VALENTIN EMIROV,,False,False,,Rosja
273615220,9759666,IPSALA,,False,False,,Rosja
273613220,9780940,ULA,,False,False,,Rosja
273217380,9906544,ASTROL-1,,False,False,,Rosja
273292470,9190107,MYS MANORSKIY,,False,False,,Rosja
273395260,9691785,POLA SEVASTIANA,,False,False,,Rosja
273416760,9849423,POLA MAKARIA,,False,False,,Rosja
273414870,9849435,POLA FILOFEIA,,False,False,,Rosja
273416980,9849459,POLA SOFIA,,False,False,,Rosja
273422380,9849461,POLA FEODOSIA,,False,False,,Rosja
273423690,9849473,POLA FIVA,,False,False,,Rosja
273435200,9851103,POLA ANATOLIA,,False,False,,Rosja
273448220,9851115,POLA ANFISA,,False,False,,Rosja
273217290,9851127,POLA GALI,,False,False,,Rosja
273215210,9888792,POLA HARITA,,False,False,,Rosja
273217810,9888807,POLA PELAGIA,,False,False,,Rosja
273215830,9897705,POLA MARIA,,False,False,,Rosja
273218530,9897690,POLA ANASTASIA,,False,False,,Rosja
273218740,9903827,POLA YAROSLAVA,,False,False,,Rosja
273210550,9903839,POLA VARVARA,,False,False,,Rosja
273214060,9903841,POLA AGATA,,False,False,,Rosja
273215270,9903853,POLA ALEXIA,,False,False,,Rosja
273214080,9903865,POLA MARINA,,False,False,,Rosja
273215580,9903877,POLA MIROPIA,,False,False,,Rosja
273297850,9220639,BALTIC LEADER,,False,False,,Rosja
273452980,9287699,FESCO MAGADAN,,False,False,,Rosja
273210520,9277412,FESCO MONERON,,False,False,,Rosja
273912200,8730455,CHIZHOVKA,,False,False,,Rosja
273915100,8305781,BELOMORSKIY,,False,False,,Rosja
273914100,8922486,DVINSKIY ZALIV,,False,False,,Rosja
273358380,8502080,INZHENER TRUBIN,,False,False,,Rosja
273354480,8502107,INZHENER VESHNYAKOV,,False,False,,Rosja
273110100,8603406,IOHANN MAHMASTAL,,False,False,,Rosja
273396150,9279422,KAPITAN KOKOVIN,,False,False,,Rosja
273440100,8618073,KAPITAN RYNTSYN,,False,False,,Rosja
273395150,9279434,KAPITAN SAKHAROV,,False,False,,Rosja
273342810,9109081,KHOLMOGORY,,False,False,,Rosja
273911200,8928143,LAPOMINKA,,False,False,,Rosja
273114600,8904408,MEKHANIK BRILIN,,False,False,,Rosja
273113600,8904410,MEKHANIK KOTTSOV,,False,False,,Rosja
273116000,8904458,MEKHANIK KRASKOVSKIY,,False,False,,Rosja
273115700,8904379,MEKHANIK MAKARIN,,False,False,,Rosja
