mmsi,imo,name,destination,fleet_source
273218530,9897690,POLA ANASTASIA,,GUR_Russia
273218740,9903827,POLA YAROSLAVA,,GUR_Russia
273210550,9903839,POLA VARVARA,,GUR_Russia
273214060,9903841,POLA AGATA,,GUR_Russia
273215270,9903853,POLA ALEXIA,,GUR_Russia
273214080,9903865,POLA MARINA,,GUR_Russia
273215580,9903877,POLA MIROPIA,,GUR_Russia
273297850,9220639,BALTIC LEADER,,GUR_Russia
273452980,9287699,FESCO MAGADAN,,GUR_Russia
273210520,9277412,FESCO MONERON,,GUR_Russia
273912200,8730455,CHIZHOVKA,,GUR_Russia
273915100,8305781,BELOMORSKIY,,GUR_Russia
273914100,8922486,DVINSKIY ZALIV,,GUR_Russia
273358380,8502080,INZHENER TRUBIN,,GUR_Russia
273354480,8502107,INZHENER VESHNYAKOV,,GUR_Russia
273110100,8603406,IOHANN MAHMASTAL,,GUR_Russia
273396150,9279422,KAPITAN KOKOVIN,,GUR_Russia
273440100,8618073,KAPITAN RYNTSYN,,GUR_Russia
273395150,9279434,KAPITAN SAKHAROV,,GUR_Russia
273342810,9109081,KHOLMOGORY,,GUR_Russia
273911200,8928143,LAPOMINKA,,GUR_Russia
273114600,8904408,MEKHANIK BRILIN,,GUR_Russia
273113600,8904410,MEKHANIK KOTTSOV,,GUR_Russia
273116000,8904458,MEKHANIK KRASKOVSKIY,,GUR_Russia
273115700,8904379,MEKHANIK MAKARIN,,GUR_Russia
273114000,8904422,MEKHANIK PUSTOSHNYY,,GUR_Russia
273118000,8904434,MEKHANIK PYATLIN,,GUR_Russia
273114700,8904367,MEKHANIK YARTSEV,,GUR_Russia
273343810,9216482,MIKHAIL LOMONOSOV,,GUR_Russia
273336180,9210359,S. KUZNETSOV,,GUR_Russia
273398650,9250385,SIYANIE SEVERA,,GUR_Russia
273293820,9240550,SMP ARKHANGELSK,,GUR_Russia
273298320,9398046,SMP NOVODVINSK,,GUR_Russia
273291430,9376440,SMP SEVERODVINSK,,GUR_Russia
273913200,8931748,TERIBERKA,,GUR_Russia
273314420,7236141,TRITON,,GUR_Russia
273292680,9210256,VIKTOR ZABELIN,,GUR_Russia
319906000,1011331,MADAME GU,,GUR_Russia
273334100,7612448,BALTIYSKIY-111,,GUR_Russia
273445070,6703769,ALIREZA 1,,GUR_Russia
273459600,8406573,BAVENIT,,GUR_Russia
319094900,9661792,DILBAR,,GUR_Russia
273212240,9079169,ENISEY,,GUR_Russia
273290390,9255270,NP DIKSON,,GUR_Russia
273292090,9183831,,,GUR_Russia
273148510,8711289,RZK CONSTANTA,,GUR_Russia
273432110,9202053,SEVERNIY PROECT,,GUR_Russia
273217210,9239458,SIBERIA,,GUR_Russia
273298070,9086253,TAIBOLA,,GUR_Russia
273397130,8821797,TAIMYR,,GUR_Russia
273386260,9014872,TAMBEY,,GUR_Russia
273211090,9081291,TERIBERKA,,GUR_Russia
273295950,9081368,TERSKIY BEREG,,GUR_Russia
273396870,8821802,TIKSY,,GUR_Russia
273299950,9081332,TURUKHAN,,GUR_Russia
273292120,9347059,UTRENNIY,,GUR_Russia
273297290,9347061,SABETTA,,GUR_Russia
533132807,9829394,FLYING FOX,,GUR_Russia
273434310,8826230,GELENDZHIK,,GUR_Russia
273422600,8724482,YUZHMORGEOLOGIYA,,GUR_Russia
273253130,9610808,ANATOLY KOLODKIN,,GUR_Russia
610000033,9341067,DF PEAK,,GUR_Russia
273253270,9904546,ALEXEY KOSYGIN,,GUR_Russia
273294110,1011551,GRACEFUL,,GUR_Russia
319766000,1006960,OLYMPIA,,GUR_Russia
273457920,8909331,GRIGORIY MIKHEYEV,,GUR_Russia
273915000,7423275,IVAN KIREEV,,GUR_Russia
273456920,8909329,ALEKSEY MARYSHEV,,GUR_Russia
273296770,9912696,YURI BABAEV,,GUR_Russia
273259900,9915105,KORYAK FSU,,GUR_Russia
273256300,9915090,SAAM FSU,,GUR_Russia
273350370,9142588,KUNASHIR,,GUR_Russia
273293420,9358034,SASCO ALDAN,,GUR_Russia
273373920,9246140,SASCO AVACHA,,GUR_Russia
273390170,9242986,SASCO ANGARA,,GUR_Russia
273383520,9255402,SASCO ANIVA,,GUR_Russia
273394340,9159921,PATRIA,,GUR_Russia
273347430,9118355,ZEYA,,GUR_Russia
273354390,9190286,PARAMUSHIR,,GUR_Russia
273352140,8714657,SELENGA,,GUR_Russia
273359190,9190274,OXIN,,GUR_Russia
273356170,9179385,SIMUSHIR,,GUR_Russia
273187000,8330516,SAKHALIN 8,,GUR_Russia
273185600,8728543,SAKHALIN 9,,GUR_Russia
273186400,8857667,SAKHALIN 10,,GUR_Russia
273340060,9683740,LADY LEILA,,GUR_Russia
273382620,9784893,LADY RANIA,,GUR_Russia
